mol,rmsd,hitmap,ID,Active
Fc1ccc(Cn2c(C(=O)/C=C(\O)/C(=O)O)ccc2)cc1,0.31119961,24 29 28 26,Active_93,1
S(=O)(=O)(N1CCC(C)CC1)c1c2c(n(Cc3ccc(F)cc3)c1)cnc1C(=O)N(O)CCc21,0.32216948,37 48 47 53,Active_94,1
Fc1ccc(Cn2c3c(c(COCCOC(C)C)c2)c2c(C(=O)N(O)CC2)nc3)cc1,0.32190529,34 46 45 51,Active_95,1
Fc1c(COCc2c3c(n(Cc4ccc(F)cc4)c2)cnc2C(=O)N(O)CCc32)cccc1,0.34437761,35 42 45 44,Active_96,1
Fc1ccc(Cn2c3c(c(COCC4CCOCC4)c2)c2c(C(=O)N(O)CC2)nc3)cc1,0.34436134,34 41 44 43,Active_97,1
Fc1ccc(Cn2c3c(c(CN(CC4CC4)C)c2)c2c(C(=O)N(O)CC2)nc3)cc1,0.32185078,33 41 40 46,Active_98,1
Fc1ccc(Cn2c3c(c(CCCN(C(=O)C)C)c2)c2c(C(=O)N(O)CC2)nc3)cc1,0.32205099,34 44 43 49,Active_99,1
FC(F)(F)CCc1c2c(n(Cc3ccc(F)cc3)c1)cnc1C(=O)N(O)CCc21,0.34407276,31 37 40 39,Active_100,1
Fc1ccc(Cn2c3c(c(CCCN4CCOCC4)c2)c2c(C(=O)N(O)CC2)nc3)cc1,0.34436134,34 41 44 43,Active_101,1
Fc1cc(C#N)c(Cn2c3c(c4c(C(=O)N(O)CC4)nc3)cc2)cc1,0.34408805,28 33 32 35,Active_102,1
Fc1c(Cn2c3c(c4c(C(=O)N(O)CC4)nc3)cc2)ncc(F)c1,0.34432453,26 30 33 32,Active_103,1
Fc1ccc(Cn2c3c(c4c(C(=O)N(O)CC4)nc3)cc2)cc1,0.34420416,25 29 32 31,Active_104,1
S(=O)(=O)(N(C)C)c1c2c(n(Cc3ccc(F)cc3)c1)cnc1C(=O)N(O)CCc21,0.3221311,32 44 43 49,Active_105,1
Fc1ccc(Cn2c3c(c(CCC(O)(C)C)c2)c2c(C(=O)N(O)CC2)nc3)cc1,0.32200554,32 42 41 47,Active_106,1
Fc1ccc(Cn2c3c(c(COCc4ncccc4)c2)c2c(C(=O)N(O)CC2)nc3)cc1,0.34436134,34 41 44 43,Active_107,1
Fc1ccc(Cn2c3c(c(CN4CC(F)(F)CC4)c2)c2c(C(=O)N(O)CC2)nc3)cc1,0.34450799,33 39 42 41,Active_108,1
Fc1ccc(Cn2c3c(c(CCCOC4CCOCC4)c2)c2c(C(=O)N(O)CC2)nc3)cc1,0.34421793,35 41 44 43,Active_109,1
S(=O)(=O)(N1CCOCC1)c1c2c(n(Cc3ccc(F)cc3)c1)cnc1C(=O)N(O)CCc21,0.34415761,34 40 43 42,Active_110,1
Fc1ccc(Cn2c3c(c(CN(CCOC)C)c2)c2c(C(=O)N(O)CC2)nc3)cc1,0.3221446,33 44 43 49,Active_111,1
S(=O)(=O)(N1CCCC1)c1c2c(n(Cc3ccc(F)cc3)c1)cnc1C(=O)N(O)CCc21,0.34443918,33 38 41 40,Active_112,1
Fc1cnc(Cn2c3c(c4c(C(=O)N(O)CC4)nc3)cc2)cc1,0.34420416,25 29 32 31,Active_113,1
S(=O)(=O)(N(CCOC)C)c1c2c(n(Cc3ccc(F)cc3)c1)cnc1C(=O)N(O)CCc21,0.32203174,35 50 49 55,Active_114,1
Fc1ccc(Cn2c3c(c(COCCCc4ncccc4)c2)c2c(C(=O)N(O)CC2)nc3)cc1,0.34434375,36 43 46 45,Active_115,1
Fc1ccc(Cn2c3c(c(COCCc4ncccc4)c2)c2c(C(=O)N(O)CC2)nc3)cc1,0.34421793,35 42 45 44,Active_116,1
Fc1ccc(Cn2c3c(c(CN4CCCCC4)c2)c2c(C(=O)N(O)CC2)nc3)cc1,0.34419355,32 38 41 40,Active_117,1
Fc1ccc(Cn2c3c(c(CN(CCO)C)c2)c2c(C(=O)N(O)CC2)nc3)cc1,0.32207447,32 43 42 48,Active_118,1
Fc1ccc(Cn2c3c(c(CN(C)C)c2)c2c(C(=O)N(O)CC2)nc3)cc1,0.322193,30 38 37 43,Active_119,1
Clc1c(C#N)c(Cn2c3c(c4c(C(=O)N(O)CC4)nc3)cc2)ccc1F,0.34437829,29 35 34 37,Active_120,1
Fc1ccc(CNC(=O)C=2C(=O)C(O)=C3C(=O)N4[C@@H](O[C@H](C)CC4)CN3C=2)cc1,0.59363002,33 46 41 43,Active_121,1
Fc1ccc(Cc2sc(C3=C(O)C(=O)N4C(=N3)C=CC(N3CCOCC3)=C4)nc2)cc1,0.44460571,34 42 38 40,Active_122,1
Fc1ccc(Cc2oc(C3=C(O)C(=O)N4C(=N3)C=CC(N3CCOCC3)=C4)nc2)cc1,0.44460571,33 42 38 40,Active_123,1
Fc1ccc(Cc2[nH]c(C3=C(O)C(=O)N4C(=N3)C=CC(N3CCOCC3)=C4)nc2)cc1,0.44460571,33 41 37 39,Active_124,1
Clc1c(F)ccc(CNC(=O)C=2C(=O)N(O)c3ncccc3C=2)c1,0.56250209,26 32 34 39,Active_126,1
Fc1c(CNC(=O)C=2C(=O)N(O)c3ncccc3C=2)ccc(F)c1,0.56250209,26 31 33 38,Active_127,1
Fc1c(F)ccc(CNC(=O)C=2C(=O)N(O)c3ncccc3C=2)c1,0.56250209,26 31 33 38,Active_128,1
Fc1ccc(Cc2cnc3c(O)c4C(=O)NCc4c(OC)c3c2)cc1,0.62238806,26 37 35 39,Active_131,1
Fc1ccc(Cc2cnc3c(O)c4C(=O)N(C)Cc4c(OC)c3c2)cc1,0.5981822,33 36 39 41,Active_132,1
S(=O)(=O)(N(C)c1c2c(c(O)c3C(=O)N(C)Cc13)ncc(Cc1ccc(F)cc1)c2)C,0.59824878,35 40 49 51,Active_133,1
IC=1C2=NC(C(=O)NCc3ccc(F)cc3)=C(O)C(=O)N2C=C(N2CCOCC2)C=1,0.43981048,32 47 43 45,Active_134,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N3C(C(N(C(=O)C(=O)N4CCOCC4)CC)=CC=C3)=N2)cc1,0.47582909,37 52 51 53,Active_135,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N3C(N(C)C=C3)=N2)cc1,0.38069829,26 32 28 30,Active_136,1
Fc1cc(N2S(=O)(=O)CCCC2)c(CNC(=O)C2=C(O)C(=O)N3C(C4(CCC3)CCCC4)=N2)cc1,0.48242587,38 52 51 53,Active_137,1
Clc1c(F)ccc(Cn2c3c(c(OC)ccc3)c(C(=O)/C=C(\O)/C(=O)OCC)c2)c1,0.51592672,34 40 39 41,Active_138,1
Clc1c(Cn2c3c(c(OC)ccc3)c(C(=O)/C=C(\O)/C(=O)O)c2)ccc(F)c1,0.25992161,33 42 41 44,Active_139,1
Clc1cc(Cn2c3c(c(OC)ccc3)c(C(=O)/C=C(\O)/C(=O)O)c2)ccc1,0.25972503,32 41 40 43,Active_140,1
Clc1c(F)c(Cn2c3c(c(OC)ccc3)c(C(=O)/C=C(\O)/C(=O)O)c2)ccc1,0.25964984,33 42 41 44,Active_141,1
Clc1cc(Cn2c3c(c(OC)ccc3)c(C(=O)/C=C(\O)/C(=O)O)c2)c(F)cc1,0.25986481,33 42 41 44,Active_142,1
S(CC(=O)Nc1c(C)ccc(C(=O)O)c1)c1sc2c(n1)cccc2,0.53960389,25 33 37 30,Active_145,1
Fc1cc(N2S(=O)(=O)CCCC2)c(CNC(=O)C2=C(O)C(=O)N3C(C(C)(C)OCC3)=N2)cc1,0.49690524,38 55 54 56,Active_146,1
O=C(NCc1sc2c(c1)cccc2)c1c(O)c(O)nc(-c2sccc2)n1,0.56737202,30 34 31 33,Active_147,1
Fc1ccc(CN2C(=O)c3c(O)c4ncc(OC)cc4c(OC)c3C2)cc1,0.8346805,29 39 38 36,Active_150,1
Fc1ccc(Cn2c3c(OC)ccc(OC)c3c(C(=O)/C=C(\O)/C(=O)O)c2)cc1,0.25972492,35 44 43 46,Active_153,1
O=C(O)/C=C/C(=O)Nc1ccc(-c2sc3c(n2)ccc(C)c3)cc1,0.43842474,29 37 36 34,Active_157,1
Fc1c(C)cc(CNC(=O)C2=C(O)C(=O)N3C(C4(CCC3)CCCC4)=N2)cc1,0.48221475,30 39 38 40,Active_158,1
O=C(NCCc1ccccc1)c1c(O)c(O)nc(-c2sccc2)n1,0.59547925,27 36 28 30,Active_164,1
O=C(O)/C(/O)=C/C(=O)c1cc(OCc2ccccc2)cc(OCc2ccccc2)c1,0.3108936,34 40 39 37,Active_166,1
Fc1ccc(CNC(=O)c2c(O)c3ncccc3c(N(C(=O)C(=O)N(C)C)C)c2)cc1,0.73732907,32 45 50 47,Active_167,1
Clc1c(Cl)ccc(CNC(=O)c2c(O)c(O)nc(-c3sccc3)n2)c1,0.56731737,28 34 31 33,Active_174,1
